ticker,harga,take_profit,stop_loss,aksi,prob_high,prob_low,prob_success,profit_potential_pct
PTRO.JK,2320.0,2350.54,2299.29,beli,0.92,0.87,0.9,1.32
PWON.JK,352.0,356.16,349.48,beli,0.88,0.92,0.9,1.18
RAJA.JK,1870.0,1894.75,1820.52,beli,0.88,0.87,0.88,1.32
SCMA.JK,185.0,189.05,182.99,beli,0.9,0.91,0.9,2.19
SIDO.JK,560.0,561.25,540.08,beli,0.88,0.81,0.85,0.22
SMGR.JK,2490.0,2522.46,2442.75,beli,0.86,0.91,0.88,1.3
SMIL.JK,484.0,502.77,481.14,beli,0.89,0.79,0.84,3.88
SMRA.JK,382.0,387.57,378.19,beli,0.86,0.83,0.85,1.46
SRTG.JK,1500.0,1579.67,1487.31,beli,0.88,0.87,0.88,5.31
SSIA.JK,785.0,796.26,776.02,beli,0.85,0.9,0.87,1.43
SSMS.JK,1695.0,1722.69,1665.6,beli,0.85,0.9,0.87,1.63
TINS.JK,1015.0,1035.04,1008.66,beli,0.9,0.88,0.89,1.97
TKIM.JK,4840.0,4879.6,4830.86,beli,0.87,0.88,0.87,0.82
TLKM.JK,2580.0,2611.8,2511.81,beli,0.86,0.88,0.87,1.23
TOBA.JK,330.0,334.01,326.0,beli,0.88,0.88,0.88,1.21
TOWR.JK,525.0,545.19,524.66,beli,0.82,0.82,0.82,3.85
TPIA.JK,7450.0,7541.33,7326.29,beli,0.88,0.91,0.9,1.23
TSPC.JK,2560.0,2607.42,2534.33,beli,0.89,0.91,0.9,1.85
UNTR.JK,22200.0,22506.95,22094.16,beli,0.92,0.88,0.9,1.38
UNVR.JK,1315.0,1344.75,1304.23,beli,0.85,0.91,0.88,2.26
