AKRA.JK,2025-04-18,1065.0,1086.9703429009905,1049.3396124318608
ACES.JK,2025-04-18,494.0,505.4967260673544,484.90271068485976
ANTM.JK,2025-04-18,1895.0,1928.4043824516862,1873.4607709196848
AMRT.JK,2025-04-18,2010.0,2018.1543966565005,1929.5831144372762
AUTO.JK,2025-04-18,2000.0,2016.126583795194,1973.4199660792963
ASII.JK,2025-04-18,4810.0,4862.613281908592,4801.112302459412
BBCA.JK,2025-04-18,8500.0,8592.95682854483,8458.468048294351
BBNI.JK,2025-04-18,4220.0,4273.571511703531,4208.094834721265
BBTN.JK,2025-04-18,950.0,961.4014611534172,943.064480726938
BBRI.JK,2025-04-18,3650.0,3681.2309742075204,3606.9941302870816
BMRI.JK,2025-04-18,4670.0,4690.513876205942,4583.528844225536
BMTR.JK,2025-04-18,134.0,139.26945450544616,131.5068652523484
BNGA.JK,2025-04-18,1825.0,1855.4594452857023,1812.0886931149278
BRIS.JK,2025-04-18,2480.0,2526.5319603665207,2447.6233240800134
BRMS.JK,2025-04-18,364.0,364.5628582019901,338.6809145566352
BRPT.JK,2025-04-18,715.0,753.8479795585107,705.596821310953
BSDE.JK,2025-04-18,805.0,819.6210582139282,787.1566732378275
BTPS.JK,2025-04-18,985.0,1019.7703487069799,976.1622814020271
CMRY.JK,2025-04-18,4290.0,4422.479721315562,4193.397839822384
CPIN.JK,2025-04-18,4280.0,4350.755204831866,4131.095441916006
CTRA.JK,2025-04-18,840.0,869.5934148256406,827.8711037119174
ELSA.JK,2025-04-18,420.0,426.09203579703205,414.2716468437111
ENRG.JK,2025-04-18,178.0,182.83371308672199,173.3196368121628
ERAA.JK,2025-04-18,432.0,438.09990810182086,419.7560850839635
ESSA.JK,2025-04-18,640.0,673.7222210213647,626.4516368154096
GJTL.JK,2025-04-18,1005.0,1033.6799519377703,998.5032019505783
FILM.JK,2025-04-18,2370.0,2483.5785701645223,2249.108560417695
INCO.JK,2025-04-18,2360.0,2416.408643228771,2318.534627347254
HRUM.JK,2025-04-18,705.0,698.32352093945,677.9549133579394
HMSP.JK,2025-04-18,570.0,575.5592450851241,565.4328643113982
ICBP.JK,2025-04-18,10225.0,10420.381536701128,10099.408693043562
INDF.JK,2025-04-18,7175.0,7377.594649953841,7091.4225676249025
INDY.JK,2025-04-18,1165.0,1195.047376061076,1138.1170962654503
INKP.JK,2025-04-18,4930.0,4967.662373319098,4782.902196765252
INTP.JK,2025-04-18,5325.0,5318.798292329122,5075.870093753365
ITMG.JK,2025-04-18,24675.0,25146.136076601808,24207.00908127267
JPFA.JK,2025-04-18,2030.0,2069.2484064793625,1942.3693514023355
ISAT.JK,2025-04-18,1620.0,1660.4060074191775,1580.0766822949583
KLBF.JK,2025-04-18,1215.0,1228.1323850075999,1200.5931524127825
JSMR.JK,2025-04-18,4170.0,4187.660125983452,4129.131977372604
KIJA.JK,2025-04-18,171.0,172.41205508974312,169.77038181509624
MAPA.JK,2025-04-18,635.0,689.3988223282753,630.9836024674195
MDKA.JK,2025-04-18,1405.0,1458.9227413584713,1384.8647006014603
MEDC.JK,2025-04-18,1045.0,1090.577828766851,1026.8837309622775
MYOR.JK,2025-04-18,2170.0,2226.907435713924,2141.3998408186285
MNCN.JK,2025-04-18,254.0,259.14824721121903,245.18198453274508
PGAS.JK,2025-04-18,1665.0,1675.7874694392665,1626.900882709459
PANI.JK,2025-04-18,9975.0,10613.991939592792,9894.640160591855
PNLF.JK,2025-04-18,334.0,336.72176643397466,319.45056134788064
PTBA.JK,2025-04-18,2720.0,2742.097709136246,2648.893604753615
RAJA.JK,2025-04-18,1940.0,2029.3262495715217,1782.3188291071272
PWON.JK,2025-04-18,350.0,366.5270495710534,348.2708426027471
SCMA.JK,2025-04-18,188.0,192.71361971234361,185.61207298354645
SIDO.JK,2025-04-18,555.0,568.8329014274933,544.9290435843377
SMGR.JK,2025-04-18,2510.0,2541.9282738410047,2456.201049520931
SRTG.JK,2025-04-18,1495.0,1544.0839937823307,1472.3605124273283
SMRA.JK,2025-04-18,382.0,387.94600570031446,377.25186132342475
TINS.JK,2025-04-18,1030.0,1051.9758005832673,1012.1158424781967
TKIM.JK,2025-04-18,4960.0,5249.0721158585975,4888.416496361316
TLKM.JK,2025-04-18,2470.0,2474.004774566031,2423.2752296059252
TPIA.JK,2025-04-18,7750.0,7377.419354838709,6874.193548387097
UNTR.JK,2025-04-18,22525.0,23012.14604378421,22234.986290155335
UNVR.JK,2025-04-18,1335.0,1342.076573601899,1310.9775949972907
ADMR.JK,2025-04-18,890.0,905.6637010709771,884.824316588421
AKRA.JK,2025-04-18,1035.0,1064.0041895303823,1027.1504917192503
ACES.JK,2025-04-18,480.0,482.8470514378214,465.172958386394
ADRO.JK,2025-04-18,1780.0,1810.1062122922544,1768.6772057175908
AMMN.JK,2025-04-18,6150.0,6420.682663575751,6053.612782636833
ARTO.JK,2025-04-18,1535.0,1581.2566587114268,1525.7324392975058
AMRT.JK,2025-04-18,1985.0,1990.871156644554,1945.0548245096732
ANTM.JK,2025-04-18,1950.0,1962.028912758845,1913.524403627061
AVIA.JK,2025-04-18,398.0,400.23284204131465,393.9886958344158
ASII.JK,2025-04-18,4750.0,4761.169005284743,4710.00845987241
AUTO.JK,2025-04-18,2010.0,2039.947248590046,1995.6489107273615
BBCA.JK,2025-04-18,8375.0,8499.906952547073,8354.947524772544
BBNI.JK,2025-04-18,4070.0,4111.258271449373,4040.5266703512616
BBTN.JK,2025-04-18,945.0,959.6311846271756,925.1417608758494
